Ülke,Linear Regression MAE,Random Forest MAE,XGBoost MAE,Linear Regression R^2,Random Forest R^2,XGBoost R^2
Australia,0.25504978651214005,0.2897999999999342,0.2981732177734358,0.9789636439109369,0.9690074544110507,0.9649925375710823
Austria,0.3911124887685219,0.2039999999999992,0.08712158203125,0.8072547528866243,0.9719086063955736,0.9941448456360682
Belgium,0.158250296337971,0.242800000000031,0.28836669921875,0.9883157454532201,0.9721584963469219,0.9607652761507453
Canada,0.25591268031850517,0.18860000000000526,0.14110229492187615,0.9443001677809697,0.9662084654407126,0.9699842108399694
Chile,0.5973721213922971,0.3565999999999775,0.7262356567382824,0.8995268884636378,0.9675307363300963,0.8502165417649726
Colombia,5.353740518804389,0.4372000000000085,0.34024291992187444,-6.392176353212366,0.9169777207512009,0.978102111021686
Denmark,0.2736681747860956,0.17100000000002352,0.2851385498046909,0.92234081635881,0.9664015616999395,0.9273728892262927
Estonia,0.21327743860718157,0.6556000000000097,1.1372915649414068,0.9941440589050144,0.9456112855559644,0.6692104823827678
Finland,0.10549886760691436,0.2548000000000144,0.5180630493164073,0.9885584531855056,0.9320367403314863,0.7454740646496572
France,13.275807963111983,0.28220000000003154,0.5943215942382807,-55.43058033551115,0.9667771950993068,0.8731415061570282
Germany,0.10937732313372521,0.31240000000000523,0.4301464843749983,0.99627183631139,0.9413558135072931,0.9354267130361167
Greece,1.8835864726533345,0.7376000000000034,1.2054403686523443,0.010840397980469985,0.8272916666666612,0.4302089301259612
Hungary,0.71171875,0.42900000000007593,0.457244873046875,0.6265430967093626,0.8820049864773231,0.8839564596847017
Iceland,0.03958801269531307,0.35360000000000297,0.37655578613281193,0.9974712568418528,0.783166945606676,0.6702011649518295
Ireland,0.1729687284055302,0.18480000000000985,0.3519509887695307,0.9876458599188751,0.9796921397379903,0.9460193812313952
Israel,0.04117155806502808,0.37760000000000105,0.675787048339842,0.9990658303091137,0.9186529645476769,0.630294152988814
Italy,0.2526993036549669,0.3887999999999948,0.4426559448242159,0.9813241461444647,0.9491086390275685,0.8895721294219394
Japan,1.0557773965517783,0.19180000000002623,0.46027740478515683,-0.47866870843293285,0.9419155109488998,0.774188917875883
Latvia,0.2787922468836769,0.32240000000001884,0.8703598022460938,0.9716490908715163,0.9618479457079953,0.7845604313501477
Lithuania,0.1087083667523899,0.5455999999999961,0.9002587890624995,0.9957773848145072,0.9236814767314037,0.7338671503426369
Luxembourg,0.7011275566756552,0.3535999999999717,0.2075488281250017,0.6470067586877841,0.9199372249247253,0.9822491321068547
Mexico,0.22696546202028428,0.305799999999968,0.6362171936035154,0.9802402800242683,0.9621736293748776,0.8840710270924474
Netherlands,0.15903828847778811,0.1349999999999568,0.24394500732422272,0.9791623338599035,0.9837131986718409,0.9280009097482156
New Zealand,0.48511718750000055,0.2918000000000177,0.41329956054687783,0.193638534996449,0.6415831692913754,0.2942796958592948
Norway,0.07465497472750542,0.1993999999999943,0.3026629638671864,0.9893314729342613,0.9389083087512364,0.842672678973936
Poland,0.17196280024874683,0.42279999999999235,0.5232952880859386,0.9923417102039842,0.9568709502589434,0.9453783644227337
Portugal,0.14893490654184802,0.41440000000004884,0.8263403320312506,0.9929531430758749,0.9632338927991273,0.8377139995009287
Slovak Republic,0.3441070449150942,0.4191999999999723,0.5300360107421881,0.9512007407523734,0.9409726192526319,0.9125403519862577
Slovenia,0.12445683804481292,0.40480000000003147,0.4937524414062523,0.9921655169016849,0.9208862411041522,0.9237152737290574
Spain,0.1011683572975329,0.2743999999999943,0.2268588256835926,0.9943996579329868,0.9624412304866815,0.9548833393318276
Sweden,5.092902531464324,0.2469999999999885,0.3411294555664085,-91.07216907561026,0.7111846246973774,0.2891041703223892
Switzerland,0.38051286362084796,0.32319999999993454,0.32311401367187215,0.8602861098206954,0.9201217277487114,0.935296423306887
United Kingdom,0.059815759724403963,0.3670000000000215,0.4551101684570341,0.9961525971913548,0.9391374624624536,0.8990966773502087
United States,0.6277258511992301,0.3080000000000183,0.2573022460937494,0.460350195712817,0.9222286869943919,0.9236049261426594
