Ulke,SDG_Endeks,H1_Yoksulluk,H2_Aclik,H3_Saglik,H4_Egitim,H5_Esitsizlik,H6_Su,H7_Enerji,H8_Is,H9_Altyapi,H10_Esitlik,H11_Sehir,H12_Uretim,H13_Iklim,H14_SuHayati,H15_KaraHayati,H16_Adalet,H17_Ortaklik
Australia,73.05217391304348,99.57826086956523,59.41304347826087,93.59130434782608,81.76086956521739,76.48260869565217,93.86521739130436,71.01304347826087,85.78695652173913,86.55217391304348,79.5304347826087,84.4304347826087,46.334782608695654,6.8478260869565215,61.78260869565217,61.81304347826087,84.63913043478261,68.4695652173913
Austria,80.70869565217392,99.56521739130434,73.36521739130436,89.4913043478261,97.14347826086957,76.4608695652174,92.2,83.89565217391304,82.75652173913043,82.9608695652174,93.74782608695651,87.7,48.65217391304348,55.373913043478254,0.0,72.38695652173912,90.52608695652174,65.9391304347826
Belgium,76.41739130434782,99.15217391304348,71.50434782608696,90.10434782608696,95.91739130434782,80.5,67.58695652173913,71.44782608695652,83.86086956521739,81.5304347826087,98.22608695652173,89.09565217391304,45.095652173913045,49.80869565217391,53.70869565217391,79.16956521739131,83.15652173913044,59.36521739130435
Canada,76.15217391304348,99.51739130434783,64.41304347826087,92.1086956521739,97.29130434782608,79.25652173913043,86.21304347826086,80.36086956521739,83.43478260869566,82.07391304347826,83.74782608695652,89.72173913043478,50.300000000000004,29.356521739130436,60.082608695652176,59.52608695652174,86.0695652173913,71.26521739130435
Chile,74.36086956521739,96.58260869565218,70.95652173913044,84.72608695652174,93.58695652173913,62.68260869565218,89.32173913043479,82.22608695652174,77.6086956521739,45.178260869565214,22.11304347826087,84.7695652173913,79.09565217391305,82.89565217391304,79.39565217391304,60.63478260869565,76.62173913043478,75.91304347826087
Colombia,66.8,77.3695652173913,64.49130434782609,78.23913043478261,86.4304347826087,65.38695652173914,76.65652173913043,74.77826086956522,66.67826086956521,27.59130434782609,13.182608695652174,84.75652173913043,87.69130434782609,90.19565217391305,60.57826086956521,59.26521739130435,55.060869565217395,67.13913043478261
Denmark,83.43478260869566,99.22173913043478,73.51739130434783,92.59130434782608,98.35652173913043,85.38260869565217,91.49565217391304,80.3,86.90869565217392,88.20869565217392,99.2304347826087,90.60000000000001,36.243478260869566,58.70434782608696,73.20434782608696,92.71739130434783,92.91739130434782,78.79130434782608
Estonia,76.75217391304348,100.0,63.70434782608696,81.85217391304349,95.62608695652175,71.6608695652174,83.13478260869564,76.63478260869564,80.63478260869564,61.40869565217392,78.73478260869565,89.77826086956522,54.55217391304348,58.84782608695652,84.5,90.4913043478261,83.23913043478261,50.01304347826087
Finland,84.7304347826087,99.51304347826088,64.0304347826087,93.6086956521739,98.29565217391306,87.54347826086956,94.23043478260868,88.35217391304347,86.15217391304348,89.1086956521739,98.80869565217391,90.94347826086955,57.01739130434783,62.47826086956522,86.5,83.83043478260869,90.67826086956521,68.94782608695652
France,78.38695652173912,99.68695652173913,72.94782608695652,91.65217391304348,97.51739130434783,77.24782608695652,88.77391304347826,76.5608695652174,83.9608695652174,81.4304347826087,86.54347826086956,89.40869565217392,58.24347826086956,70.93478260869566,55.68260869565218,60.63913043478261,75.00434782608696,66.39565217391304
