Ulke,Ort_SDG_Endeks
Australia,72.64500000000001
Austria,80.39
Belgium,75.96000000000001
Canada,75.815
Chile,73.815
Colombia,66.35
Denmark,83.12
Estonia,76.075
Finland,84.45
France,77.865
Germany,79.6
Greece,73.65
Hungary,76.97999999999999
Iceland,76.115
Ireland,77.3
Israel,70.53
Italy,75.16499999999999
Japan,77.03999999999999
Latvia,76.6
Lithuania,72.97999999999999
Luxembourg,74.47999999999999
Mexico,65.42
Netherlands,77.11
New Zealand,75.08500000000001
Norway,80.44
Poland,76.625
Portugal,75.05
Slovak Republic,75.87
Slovenia,77.66
Spain,76.41
Sweden,84.89500000000001
Switzerland,78.62
United Kingdom,78.795
United States,73.095
