Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Kalkinma_Endeksi
Benin,2000,21.531084,0.6,0.07,94224000.0,70.29,0.08,0.0,0.0,0.0,980.96387,4.88,1420.0,11.986706828095237,5.857714205,512.673902,108.0,112622.0,9.30769,2.315834,0.12324345042725099
Benin,2001,21.9,0.8,0.07,94224000.0,66.86,0.06,0.0,0.0,0.0,1083.3461,4.93,1740.0,11.986706828095237,5.333135706,518.0674741,108.0,112622.0,9.30769,2.315834,0.1208734035851127
Benin,2002,23.415928,1.0,0.07,90000.0,64.04,0.06,0.0,0.0,0.0,1204.5461,5.05,2180.000067,11.986706828095237,4.643030871,574.9297982,108.0,112622.0,9.30769,2.315834,0.12002133463181983
Benin,2003,24.349323,1.3,0.07,94224000.0,61.73,0.07,0.0,0.0,0.0,1357.0039,5.15,2440.000057,11.986706828095237,3.443576776,711.2849548,108.0,112622.0,9.30769,2.315834,0.11899951468352338
Benin,2004,25.279833,1.7,0.06,0.0,60.69,0.08,0.0,0.0,0.0,1388.154,5.15,2650.000095,11.986706828095237,4.429684554,798.7443045,108.0,112622.0,9.30769,2.315834,0.11967367073394095
Benin,2005,26.209805,2.1,0.06,94224000.0,59.2,0.1,0.0,0.0,0.0,1262.3934,5.08,2900.000095,11.986706828095237,1.713164564,822.7851431,108.0,112622.0,9.30769,2.315834,0.11819852211511514
Benin,2006,27.9,2.5,0.06,8540000.0,57.31,0.14,0.0,0.0,0.0,1672.0192,5.76,3470.000029,11.986706828095237,3.943738828,856.0549166,108.0,112622.0,9.30769,2.315834,0.12099233044587708
Benin,2007,28.078016,2.9,0.06,94224000.0,54.49,0.2,0.0,0.0,0.0,1918.3821,5.91,4000.0,11.986706828095237,5.986349322,966.2036183,108.0,112622.0,9.30769,2.315834,0.1205293477802505
Benin,2008,29.021614,3.4,0.06,570000.0,54.76,0.21,0.0,0.0,0.0,1904.8895,5.76,4019.999981,11.986706828095237,4.896577084,1125.426134,108.0,112622.0,9.30769,2.315834,0.12115279213669163
Benin,2009,29.975151,3.7,0.06,8850000.0,52.83,0.12,0.0,0.0,0.0,2054.215,5.91,4420.000076,11.986706828095237,2.319292139,1088.757906,108.0,112622.0,9.30769,2.315834,0.11988802564549174
Benin,2010,34.2,4.0,0.05,170000.0,47.19,0.11,0.0,0.0,0.0,2287.7693,6.0,4829.999924,11.986706828095237,2.114064726,1036.534515,108.0,112622.0,9.30769,2.315834,0.11905900016631692
Benin,2011,36.9,4.1,0.05,370000.0,48.7,0.09,0.0,0.0,0.0,2071.1877,5.82,4650.000095,11.986706828095237,2.963752919,1130.273251,108.0,112622.0,9.30769,2.315834,0.12236834187130866
Benin,2012,38.4,4.3,0.05,70000.0,50.33,0.05,0.0,0.0,0.0,1909.2642,5.61,4440.000057,11.986706828095237,4.811223316,1145.140105,108.0,112622.0,9.30769,2.315834,0.12522557425387196
Benin,2013,34.69122,4.3,0.05,94224000.0,51.97,0.09,0.0,0.0,0.0,1889.7343,5.71,4679.999828,11.986706828095237,7.191433721,1251.209767,108.0,112622.0,9.30769,2.315834,0.12493827713272601
Benin,2014,34.1,4.3,0.07,12880000.0,51.05,0.22,0.0,0.0,0.0,1940.2653,5.54,5190.000057,11.986706828095237,6.357679098,1291.410185,108.0,112622.0,9.30769,2.315834,0.1230376752721381
Benin,2015,29.62,4.3,0.16,571900000.0,49.94,0.3,0.0,0.0,0.0,2083.4993,5.79,5510.000229,11.986706828095237,1.77815106,1076.796698,108.0,112622.0,9.30769,2.315834,0.11726318528414008
Benin,2016,37.095245,4.3,0.31,1280000.0,45.42,0.25,0.0,0.0,0.0,2467.0088,6.22,6739.999771,11.986706828095237,3.339673426,1087.287331,108.0,112622.0,9.30769,2.315834,0.12126429188529884
