Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Karbon_Yogunlugu,Yenilenebilir_Enerji_Kullanimi,Enerji_Verimliligi,Nufusun_Elektrik_Erisimi,Elektrik_Erisim_Yillik_Degisim,CO2_Yillik_Degisim
Argentina,2000,95.78329,95.0,235.62,94224000.0,9.85,50.37,5.99,28.89,40.914955,18849.81,3.69,132270.0,12.283858,-0.788998939,7708.099115,17.0,2780400.0,-38.416097,-63.616672,7.017046856175208,0.19555290847687998,5108.349593357498,1628.31593,0.0,0.0
Argentina,2001,95.51106,95.6,234.09,3890000.0,11.51,42.91,6.54,37.04,50.38733,18210.12,3.59,125260.0,15.937488,-4.408839683,7208.373114,17.0,2780400.0,-38.416097,-63.616672,6.8785927824748,0.2682358424603397,5072.456824371241,1623.68802,-0.002842145012976638,-0.05299765630906483
Argentina,2002,96.22887,96.1,236.78,94224000.0,11.62,39.7,5.39,36.06,51.07825,17275.256,3.99,117470.0012,16.249306,-10.89448483,2593.404563,17.0,2780400.0,-38.416097,-63.616672,6.799899301058114,0.2926952141050561,4329.638095129583,1635.89079,0.00751546470115616,-0.06219063388152646
Argentina,2003,96.442635,96.45,234.82,50000.0,10.82,46.73,7.03,34.38,46.982075,18326.521,3.97,127660.0037,14.408259,8.837040796,3349.8063,17.0,2780400.0,-38.416097,-63.616672,6.965861316504098,0.2315429060555713,4616.252140941656,1639.5247949999998,0.0022214227393504427,0.08674557245173498
Argentina,2004,96.6535,97.2,236.15,40960000.0,9.29,57.35,7.31,31.03,40.066883,19261.457,4.04,141380.0049,12.1855755,9.029573301,4277.721573,17.0,2780400.0,-38.416097,-63.616672,7.340047271605674,0.16198779424557627,4767.687376119611,1643.1094999999998,0.002186429269585899,0.10747298137513672
Argentina,2005,96.863846,97.5,234.67,280000.0,9.64,59.89,6.37,34.6,40.620663,20232.844,3.68,145990.0055,12.788524,8.85165992,5109.852245,17.0,2780400.0,-38.416097,-63.616672,7.215496027152683,0.16096176323232433,5498.055434633205,1646.685382,0.002176289529091102,0.03260716112763418
Argentina,2006,97.07606,98.1,232.56,440000.0,9.18,65.58,7.15,38.67,41.131058,21038.723,3.58,154899.9939,13.449462,8.0471515,5919.012338,17.0,2780400.0,-38.416097,-63.616672,7.362613876326999,0.1399817017381214,5876.73826799227,1650.29302,0.0021908483790742395,0.06103149574852229
Argentina,2007,97.29279,98.3,236.6,360000.0,7.72,72.95,6.72,31.18,34.19035,21708.37,3.44,162809.9976,10.599154,9.007650875,7245.446857,17.0,2780400.0,-38.416097,-63.616672,7.49987205856543,0.10582590815612634,6310.572674235157,1653.97743,0.002232579278557356,0.05106522925434409
Argentina,2008,97.516754,98.6,234.79,22940000.0,7.65,76.62,6.85,31.28,33.22876,21780.38,3.42,167229.9957,10.437064,4.057233103,9020.873323,17.0,2780400.0,-38.416097,-63.616672,7.678010930020505,0.09984338292860892,6368.532163556476,1657.784818,0.0023019588604664687,0.02714819829958648
Argentina,2009,97.750656,98.9,241.83,39080000.0,8.59,74.01,7.59,34.7,36.362854,20954.271,3.35,156570.0073,11.783506,-5.918525076,8225.137583,17.0,2780400.0,-38.416097,-63.616672,7.471985415288367,0.11606539656787451,6255.00626847,1661.761152,0.002398582709182362,-0.06374447571668507
Argentina,2010,98.82,99.1,239.96,1040000.0,8.79,78.54,6.69,34.41,34.353058,21507.703,3.26,167220.0012,11.661375,10.12539816,10385.96443,17.0,2780400.0,-38.416097,-63.616672,7.774888894457953,0.11191749427029293,6597.454907773085,1679.9399999999998,0.010939507147655236,0.0680206514878281
Argentina,2011,99.09535,99.3,251.14,69260000.0,8.83,84.43,5.89,32.43,31.217922,21894.867,3.18,176639.9994,10.929448,6.003951693,12848.8642,17.0,2780400.0,-38.416097,-63.616672,8.067644320470182,0.10458367878703709,6885.178301670277,1684.62095,0.0027863792754503347,0.05633296335606053
Argentina,2012,99.22998,99.5,252.14,256070000.0,8.61,91.86,5.9,30.93,28.619164,22494.715,3.3,177960.0067,10.216426,-1.026420454,13082.66433,17.0,2780400.0,-38.416097,-63.616672,7.911191882182104,0.09372958850414355,6816.580302823741,1686.90966,0.0013585904888575584,0.007472867439332731
Argentina,2013,99.342674,99.6,250.97,47820000.0,8.91,91.55,5.73,35.03,30.806438,23152.588,3.31,183250.0,10.950079,2.405323781,13080.25473,17.0,2780400.0,-38.416097,-63.616672,7.914881912985279,0.09732386673938032,6994.739576827953,1688.825458,0.0011356850016497333,0.02972574230634706
Argentina,2014,100.0,99.7,248.74,2472850000.0,9.79,92.18,5.26,34.37,30.066004,22881.006,3.4,179600.0061,11.038978,-2.512615321,12334.79825,17.0,2780400.0,-38.416097,-63.616672,7.849305493823129,0.10620525059654348,6729.707646860891,1700.0,0.00661675364204517,-0.01991811132332877
Argentina,2015,99.62539,99.7,247.37,109830000.0,9.4,97.18,6.64,33.97,29.472387,23046.873,3.36,185550.0031,10.907397,2.731159828,13789.06042,17.0,2780400.0,-38.416097,-63.616672,8.050983884017585,0.09672772175334768,6859.188392653001,1693.6316299999999,-0.0037461000000000855,0.033129158117550794
Argentina,2016,99.84958,99.8,245.23,250160000.0,9.38,100.8,7.82,31.02,27.81438,22726.455,3.41,183160.0037,10.167007,-2.080327844,12790.24247,17.0,2780400.0,-38.416097,-63.616672,8.059330137498346,0.09305555555546324,6664.649559921858,1697.44286,0.002250329961067221,-0.012880621719590812
Argentina,2017,100.0,99.8,244.82,503740000.0,10.37,99.4,5.77,33.4,28.267298,22503.818,3.32,179320.0073,10.964719,2.818502978,14613.04182,17.0,2780400.0,-38.416097,-63.616672,7.968425948876764,0.10432595573430146,6778.258433530776,1700.0,0.001506466026196529,-0.020965256182728487
