Ulke,Ekonomik_Gosterge_Puani,Enerji_Gosterge_Puani,Yenilenebilir_Enerji_Puani,Cevresel_Gosterge_Puani,Cografi_Demografik_Puani
Afghanistan,0.33725776534825613,0.47348107342273005,0.45458519699469424,0.5893366863188604,0.5
Albania,0.45102948030444157,0.6390629809103411,0.5,0.5496309705135651,0.5
Algeria,0.4206336208922039,0.4777855616269818,0.33593036932486475,0.5695348308285098,0.5
Angola,0.48098393599650285,0.5060387907731001,0.32559869710031347,0.6334505160730569,0.5
Antigua and Barbuda,0.6134109026781971,0.6776101537762574,0.19377390501854022,0.5632264687322752,0.5
Argentina,0.6262906054552138,0.6354792445777178,0.32822569804823065,0.46064397109562566,0.5
Armenia,0.6423618527861296,0.6853258283575824,0.4560711108141204,0.5464111155497929,0.5
Aruba,0.5952606915936027,0.6802323896091943,0.46938974193029165,0.6499426983309241,0.5
Australia,0.4655000196343753,0.49485864682197656,0.4839420289855073,0.40749503751491567,0.5
Austria,0.6276369991673663,0.5108190682215384,0.5302974828375285,0.5037453820608471,0.5
Azerbaijan,0.39800384309685255,0.6589938867437408,0.3854316944094874,0.5722138797721303,0.5
Bahamas,0.4553200411047376,0.4731920246628425,0.31329960797878476,0.5459156820622987,0.5
Bahrain,0.4543965084470504,0.5050062386124424,0.3583960720130933,0.48451846312255925,0.5
Bangladesh,0.46458489063234054,0.398096979602881,0.369731214012122,0.5372820839217025,0.5
Barbados,0.4899060168670747,0.6628626078647512,0.2645743870809109,0.6396838442817058,0.5
Belarus,0.5320634561148274,0.5613297596061751,0.5327522935779816,0.5446023629248349,0.5
Belgium,0.6255540998078695,0.5298875355307934,0.4825379609544469,0.5352602835687374,0.5
Belize,0.3371969049162358,0.5734638995392269,0.3755086851694048,0.7100401107225198,0.5
Benin,0.5058419315126189,0.5506453135692287,0.3009609539396773,0.5317934565533333,0.5
Bermuda,0.4450299136087392,0.4919263006455462,0.36552380952380953,0.6303100683655749,0.5
Bhutan,0.4412196767739699,0.5954752353999916,0.5074792603414966,0.5962921882456508,0.5
Bosnia and Herzegovina,0.4665732456600969,0.6149278169878614,0.41696412948381456,0.511006046304722,0.5
Botswana,0.4728058209132383,0.4913786686681072,0.26499082568807336,0.5965012130320031,0.5
Brazil,0.535143389607894,0.6374629095742494,0.4064021906988732,0.5819112591713456,0.5
Bulgaria,0.6010971113264187,0.51384006719397,0.49118122977346274,0.6106947411649732,0.5
Burkina Faso,0.469105260529244,0.42246545507049954,0.36830749354005166,0.5568469029641924,0.5
Burundi,0.534105263411205,0.4329649863235961,0.5496591768866679,0.6995183163025286,0.5
Cambodia,0.43610922734126845,0.34997616610640675,0.3937912257752109,0.7235475499216097,0.5
Cameroon,0.44475326253133823,0.5431859018899174,0.44200068399452797,0.594166372720382,0.5
Canada,0.563197700015785,0.5153615014170894,0.5223841059602647,0.5256726514921095,0.5
Cayman Islands,0.6595152449347188,0.5027155367908275,0.1991639833733388,0.6252952986057095,0.5
Central African Republic,0.7084109120926361,0.5026486708328274,0.42805058763413373,0.4235279703096288,0.5
Chad,0.31575726799097636,0.3491962697466043,0.4413224489795917,0.5949455834170065,0.5
Chile,0.5410004363764538,0.5540273068117296,0.44059276437847855,0.5317239563725698,0.5
China,0.46480528228259016,0.5609303466937813,0.3066222528875613,0.44774854866724845,0.5
Colombia,0.4676492092689476,0.4719438624721525,0.47518231139648276,0.5892872630280531,0.5
Comoros,0.2834232437412778,0.42181095695313625,0.6547700915685105,0.6448629618937771,0.5
Congo,0.4655618326015635,0.4435338225646541,0.5121628059759536,0.6173538205145384,0.5
Costa Rica,0.5005926492997603,0.6018779075957824,0.42500884752695756,0.490454383101566,0.5
Croatia,0.6709441330516632,0.5365482869877829,0.5095612431444241,0.5408995192212783,0.5
Cuba,0.3618195471274469,0.5321925937866793,0.4350000595367489,0.5274596596726825,0.5
Cyprus,0.6301316805718817,0.5137030281804893,0.468568281938326,0.4938845383238619,0.5
Czechia,0.5024859372740345,0.5014915623644206,0.49551967709384465,0.48912845260068333,0.5
Denmark,0.5904883826096585,0.48920157094965766,0.4753266144083613,0.46904325220157544,0.5
Djibouti,0.3701310327246385,0.5315117052397125,0.5073686253201894,0.548768417515176,0.5
Dominica,0.6046719695370135,0.6411994871033562,0.6169973978098232,0.6556069559654455,0.5
Dominican Republic,0.4751003995547552,0.49724308023172686,0.34595714782643927,0.5559236977330078,0.5
Ecuador,0.4981092576895724,0.6007513020926942,0.32038022366548735,0.4761038417243325,0.5
Egypt,0.5489039644251006,0.6834867565344998,0.2343227273551986,0.4913117217925512,0.5
El Salvador,0.5338461521657807,0.5142364095106199,0.4525014998397029,0.48686835856035504,0.5
Equatorial Guinea,0.4163462974627839,0.4711218973272123,0.2958773916197866,0.46683956558126727,0.5
Eritrea,0.5408804082386145,0.5228412944146662,0.3623211368554299,0.5471582167490157,0.5
Estonia,0.6530661411758731,0.515235137059362,0.47167965981573345,0.38322375502567824,0.5
Eswatini,0.4355871056198809,0.47069728996599886,0.5068150300134628,0.5239712636255293,0.5
Ethiopia,0.5411492918671734,0.36264360863247247,0.4644729109500707,0.6674591178354411,0.5
Fiji,0.4760656250716663,0.4206423555323475,0.4349229169128542,0.5183474095611589,0.5
Finland,0.5691527106852753,0.48094800746746225,0.4741987363584147,0.5585288155899368,0.5
France,0.5736857644519793,0.5038108625761307,0.46427960057061346,0.4169366651358418,0.5
Gabon,0.5285548987275175,0.5730331915221225,0.5124214612988136,0.4594507962150495,0.5
Gambia,0.48659754898751906,0.48048662035461065,0.5579411281309579,0.5047678571428571,0.5
Georgia,0.5209219834544498,0.6540878584424876,0.32276407151357345,0.5810532084984942,0.5
Germany,0.6256708275123078,0.5108135235801441,0.5076317743132888,0.3680224959072701,0.5
Ghana,0.3915919196301664,0.49217377519012506,0.5046949209699001,0.6312696292930653,0.5
Greece,0.5841434112526058,0.5030762103281888,0.4651929824561403,0.4522386877897658,0.5
Grenada,0.48281179553934495,0.5393656600847776,0.34376851714883444,0.649372253756586,0.5
Guatemala,0.3973362083961798,0.36385480996037417,0.45466934383542357,0.5889974343597594,0.5
Guinea,0.4573913158987512,0.35202652635738463,0.43075011497819576,0.5805249458853888,0.5
Guinea-Bissau,0.5912080607051233,0.415407337730214,0.24191741935483918,0.5294305677290114,0.5
Guyana,0.47191117527200516,0.4713189108055748,0.5810327012887673,0.5954881128786319,0.5
Haiti,0.5534986714002118,0.45436265575637924,0.4081935618838419,0.51901677932058,0.5
Honduras,0.552532921951746,0.5229844181260173,0.38968988647740954,0.3781322907362763,0.5
Hungary,0.6521391062609256,0.5091461402928299,0.5042549800796813,0.48606391454393794,0.5
Iceland,0.6212579569049055,0.521001209768015,0.5174816266536012,0.5502540155103306,0.5
India,0.5397204635284198,0.43854852919078163,0.3725521217457509,0.5465645001073636,0.5
Indonesia,0.5276805179507705,0.49989850479278336,0.49115520086662634,0.5625299053684537,0.5
Iraq,0.4574897167312426,0.5326619109223902,0.5249451978261974,0.6493786977139128,0.5
Ireland,0.39931824460323395,0.48966378823151546,0.4464609450337512,0.5048462093648859,0.5
Israel,0.5440091559821585,0.5423046734082378,0.4924516129032258,0.517054678151548,0.5
Italy,0.5818120249893917,0.5110131821157605,0.5109465020576132,0.45979319252313255,0.5
Jamaica,0.5149379955258436,0.5335166279232259,0.3775718901520453,0.6038994425865599,0.5
Japan,0.60092209526987,0.5096503322989296,0.4442482100238664,0.47739173994796963,0.5
Jordan,0.3864421705109504,0.6287246669738463,0.17877343455172784,0.49259438026409763,0.5
